,away,home,time,weather
0,MIN 3.4,@DET 3.6,6:40pm,44°         24%
1,PIT 4.0,@PHI 5.0,6:40pm,55°         44%
2,SF 4.1,@TB 4.4,6:50pm,
3,MIL 4.4,@BAL 4.1,7:05pm,56°         50%
4,COL 3.2,@TOR 4.8,7:07pm,67°
5,LAA 4.4,@BOS 4.6,7:10pm,51°         2%
6,KC 4.0,@NYM 4.5,7:10pm,54°         19%
7,ATL 4.9,@MIA 3.6,7:10pm,71°
8,CIN 5.3,@CHW 4.2,7:40pm,49°
9,TEX 4.6,@HOU 4.9,8:10pm,64°
10,WAS 3.8,@OAK 4.2,9:40pm,52°         67%
11,CHC 3.8,@SEA 4.2,9:40pm,48°          3%
12,STL 4.6,@ARI 4.9,9:40pm,73°
13,SD 3.5,@LAD 5.0,10:10pm,59°         31%
